106	0.046	1	0	task-3:0.456	task-0:0.19	task-1:0.122	task-2:0.474	|	0.0593863	0.0575934	0.0555954	0.0555029	0.0552968	0.0549174	0.054273	0.0535868	0.0583199	0.0535066	0.0534775	0.0534372	0.0533891	0.0533143	0.0531874	0.0531681	0.053455	0.0530684	0.0530615	0.0530481	0.0530231	0.0529804	0.051974	0.050969	0.0473034	0.0424969	0.0388081	0.0348025	0.0314919	0.0284157	0.0248483	0.0181218	0.0161045	0.017318	0.0127301	0.0120979	0.0114837	0.0111624	0.0105828	0.00965495	0.00808298	0.00623224	
85	0.046	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

85	0.047	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

85	0.047	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

95	0.047	1	0	task-3:0.454	task-0:0.162	task-1:0.152	task-2:0.514	|	0.0564374	0.0555277	0.0545091	0.0544649	0.0543387	0.0540916	0.0538045	0.0537306	0.0535872	0.0534551	0.0532862	0.0533671	0.05322	0.0532061	0.0531744	0.0531112	0.0530464	0.0531611	0.0530101	0.0530011	0.0529839	0.052964	0.0529452	0.0520635	0.0507704	0.0473529	0.0414667	0.035221	0.0318896	0.0305915	0.029197	0.0264133	0.0211572	0.0147787	0.016075	0.0134793	0.0127977	0.0115912	0.00979122	0.00749763	0.00454571	

85	0.047	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

85	0.031	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

85	0.047	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

85	0.047	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

95	0.047	1	0	task-3:0.454	task-0:0.162	task-1:0.152	task-2:0.514	|	0.0564374	0.0555277	0.0545091	0.0544649	0.0543387	0.0540916	0.0538045	0.0537306	0.0535872	0.0534551	0.0532862	0.0533671	0.05322	0.0532061	0.0531744	0.0531112	0.0530464	0.0531611	0.0530101	0.0530011	0.0529839	0.052964	0.0529452	0.0520635	0.0507704	0.0473529	0.0414667	0.035221	0.0318896	0.0305915	0.029197	0.0264133	0.0211572	0.0147787	0.016075	0.0134793	0.0127977	0.0115912	0.00979122	0.00749763	0.00454571	

85	0.062	1	0	task-3:0.46	task-0:0.214	task-1:0.108	task-2:0.466	|	0.0578076	0.0558703	0.0539415	0.0538691	0.0537686	0.0536392	0.0535182	0.0534536	0.0533556	0.05322	0.0532545	0.0531734	0.0531111	0.0531035	0.0530873	0.0522795	0.0510868	0.0480131	0.0433594	0.0394048	0.0351116	0.0320364	0.0303615	0.0284543	0.025363	0.0211927	0.0195402	0.0186554	0.0180304	0.0168122	0.0151463	0.0123527	0.010034	

