245	0.031	2	0	task-0:0.27	|	0.28153	0.238958	0.237492	0.234114	0.230017	0.228179	0.225931	0.224828	0.221761	0.217178	0.225579	0.216154	0.215261	0.214689	0.21292	0.210167	0.212073	0.213021	0.207071	0.206764	0.205801	0.203925	0.202082	0.228205	0.201001	0.200841	0.200446	0.199597	0.198081	0.197168	0.268964	0.195781	0.195738	0.195675	0.195607	0.19553	0.195495	0.196011	0.195408	0.19538	0.195318	0.195205	0.194977	0.19481	0.194431	0.199147	0.182703	0.18127	0.176859	0.16877	0.20674	0.172025	0.165547	0.1622	0.161357	0.161013	0.160245	0.159558	0.158526	0.162644	0.162756	0.156973	0.156349	0.155893	0.155012	0.155661	0.154877	0.154462	0.154131	0.153466	0.153638	0.156325	0.152215	0.15185	0.151757	0.151265	0.151263	0.15135	0.150885	0.150732	0.150652	0.150138	0.150114	0.150245	0.149711	0.14962	0.149537	0.14907	0.149008	0.149093	0.148625	0.148545	0.148454	0.148008	0.128165	0.123023	0.109724	0.0931476	0.0748856	0.0448636	0.0468726	0.0756973	0.0193654	0.0181195	0.0159327	0.0143258	0.0131264	0.0107737	0.00907813	0.007717	0.00716664	0.00678824	0.00603908	0.00467123	0.0027238	0.00330999	0.00834219	0.00142482	
191	0.015	1	0	task-0:0.11	|	0.319973	0.241426	0.23919	0.233717	0.228123	0.228288	0.225247	0.224023	0.222247	0.218785	0.217532	0.231488	0.215038	0.213636	0.212536	0.210343	0.210212	0.21135	0.207869	0.207299	0.206723	0.20584	0.204743	0.20393	0.205712	0.202434	0.202136	0.201659	0.200979	0.201291	0.200729	0.200497	0.200267	0.199789	0.200372	0.199548	0.199434	0.199269	0.198846	0.198003	0.170571	0.176676	0.156623	0.153437	0.146323	0.132175	0.126411	0.117877	0.112381	0.103909	0.0933148	0.105904	0.0876864	0.0844495	0.0813867	0.0766365	0.0722817	0.0713975	0.0669786	0.0652143	0.0631996	0.0612924	0.0595337	0.0573961	0.0551854	0.054377	0.0525798	0.0516738	0.0500586	0.0484254	0.0473089	0.0466024	0.0455972	0.0448628	0.0439007	0.0426431	0.04001	0.0394112	0.0485673	0.0358545	0.0353195	0.0347169	0.0338694	0.0326987	0.0327213	0.0319921	0.0315302	0.0312116	0.0306178	0.0300443	0.0292179	0.0274682	0.0241747	0.0187297	0.0197707	0.204072	0.0274687	0.195102	0.0126737	0.0124997	0.0122702	0.011855	0.0111206	0.0102911	0.00986028	0.00991984	0.0105794	0.00930574	0.00922389	0.00912131	0.00890216	0.00846486	0.00765147	0.00629051	0.0449379	0.00619549	0.00611376	0.00598409	0.00583261	0.00568688	0.00574786	0.00563834	0.00561929	0.00556894	0.00548285	0.00547106	0.00537495	0.00533184	0.00527283	0.00515027	0.00490846	0.00446092	0.00371415	0.00380446	0.0759067	0.00264635	0.0025785	0.0025304	0.00246464	

210	0.016	1	0	task-0:0.13	|	0.272135	0.224568	0.221101	0.21963	0.219566	0.218533	0.217641	0.215445	0.21222	0.225178	0.210592	0.210063	0.208932	0.206593	0.206099	0.224269	0.20364	0.203427	0.202702	0.201303	0.202493	0.203028	0.199989	0.199869	0.199501	0.198727	0.198423	0.205572	0.197699	0.19762	0.197412	0.196983	0.197097	0.198043	0.196554	0.196506	0.196388	0.19619	0.19589	0.196485	0.195859	0.17616	0.165932	0.158601	0.148302	0.139022	0.131589	0.128446	0.123224	0.115329	0.10893	0.101214	0.0860145	0.100866	0.101489	0.0690845	0.0678344	0.0656	0.0650857	0.0629379	0.0603431	0.0584837	0.0582369	0.0563768	0.0554539	0.0540877	0.0526052	0.049221	0.0435856	0.0359887	0.152987	0.0346421	0.0341224	0.0336756	0.0324922	0.0302324	0.0333947	0.0441983	0.0271729	0.0268367	0.0261549	0.0254424	0.0249513	0.0247217	0.0243056	0.0239521	0.0231305	0.0215702	0.0246769	0.0265088	0.0195822	0.0193994	0.0190308	0.0186262	0.0182378	0.0179382	0.017624	0.0172257	0.016428	0.0152543	0.0243301	0.0148527	0.0146573	0.0145084	0.0143292	0.0141853	0.0138553	0.0131912	0.0127969	0.017315	0.0121164	0.0120348	0.0118453	0.0114491	0.0106515	0.0105103	0.0198842	0.00947089	0.00939016	0.00924831	0.00917364	0.00906218	0.00889027	0.00882274	0.00876037	0.00864608	0.00856762	0.00840832	0.00812688	0.0085106	0.00833488	0.00758179	0.00751404	0.00743373	0.00727116	0.00697747	0.00675639	0.00799082	0.00654663	0.00649043	0.00639387	0.00636526	0.00627596	0.00615938	0.00610627	0.0060942	0.00606789	0.00599781	0.00585004	0.00558692	0.00519218	0.00855713	0.0215224	0.00475114	0.00453548	0.00442848	0.00434234	0.0041727	0.00387553	0.00353313	0.00355291	0.00449176	0.00334881	0.00332667	0.0032797	0.00323726	0.003158	0.0030133	0.00357011	0.00364938	0.0029074	0.00289646	0.00287016	0.00281549	0.00273936	0.00256156	0.00279522	0.00248275	

101	0.016	1	0	task-0:0.24	|	0.228329	0.22541	0.221265	0.216587	0.217608	0.214793	0.214056	0.212872	0.210373	0.207378	0.244108	0.206508	0.20618	0.205379	0.204179	0.205063	0.204037	0.202621	0.202459	0.201992	0.201515	0.20108	0.201632	0.200649	0.200427	0.200194	0.199782	0.199322	0.200102	0.199045	0.198939	0.198755	0.172693	0.161141	0.14682	0.120587	0.0871373	0.0698989	0.0524335	0.0473986	0.0407339	0.0319239	0.0301532	0.0298565	0.0281931	0.0247412	0.0211386	0.0151323	0.00773801	0.0128553	0.00613449	0.00300289	0.00284605	0.00259807	0.00255154	0.00248703	

101	0.015	1	0	task-0:0.24	|	0.228329	0.22541	0.221265	0.216587	0.217608	0.214793	0.214056	0.212872	0.210373	0.207378	0.244108	0.206508	0.20618	0.205379	0.204179	0.205063	0.204037	0.202621	0.202459	0.201992	0.201515	0.20108	0.201632	0.200649	0.200427	0.200194	0.199782	0.199322	0.200102	0.199045	0.198939	0.198755	0.172693	0.161141	0.14682	0.120587	0.0871373	0.0698989	0.0524335	0.0473986	0.0407339	0.0319239	0.0301532	0.0298565	0.0281931	0.0247412	0.0211386	0.0151323	0.00773801	0.0128553	0.00613449	0.00300289	0.00284605	0.00259807	0.00255154	0.00248703	

101	0	1	0	task-0:0.24	|	0.228329	0.22541	0.221265	0.216587	0.217608	0.214793	0.214056	0.212872	0.210373	0.207378	0.244108	0.206508	0.20618	0.205379	0.204179	0.205063	0.204037	0.202621	0.202459	0.201992	0.201515	0.20108	0.201632	0.200649	0.200427	0.200194	0.199782	0.199322	0.200102	0.199045	0.198939	0.198755	0.172693	0.161141	0.14682	0.120587	0.0871373	0.0698989	0.0524335	0.0473986	0.0407339	0.0319239	0.0301532	0.0298565	0.0281931	0.0247412	0.0211386	0.0151323	0.00773801	0.0128553	0.00613449	0.00300289	0.00284605	0.00259807	0.00255154	0.00248703	

