351	0.078	3	task-0:0.294	|	0.245036	0.24168	0.240917	0.239386	0.238658	0.237339	0.237217	0.236687	0.235546	0.233816	0.238005	0.234141	0.233048	0.232974	0.232779	0.232443	0.232474	0.233167	0.232072	0.232037	0.23198	0.231871	0.230557	0.224451	0.223663	0.221226	0.217633	0.216909	0.216677	0.211759	0.210649	0.207912	0.205461	0.208214	0.203034	0.20198	0.199743	0.195406	0.186599	0.171365	0.227602	0.415473	0.161614	0.276871	0.176529	0.421463	0.182205	0.344911	0.330763	0.255764	0.401911	0.15135	0.1518	0.148944	0.14877	0.148234	0.147448	0.147285	0.146642	0.146352	0.146213	0.146012	0.145904	0.145709	0.145559	0.14531	0.144844	0.144609	0.144957	0.144141	0.144024	0.143842	0.14361	0.143202	0.142479	0.143659	0.143193	0.141721	0.141614	0.141437	0.141139	0.140577	0.141121	0.142346	0.139874	0.139816	0.139642	0.139307	0.139028	0.140127	0.137257	0.136946	0.136068	0.134241	0.131339	0.128826	0.156202	0.128406	0.128216	0.127986	0.127716	0.127204	0.126159	0.124251	0.123113	0.212642	0.120894	0.120678	0.120121	0.119666	0.119379	0.119215	0.119044	0.119001	0.118837	0.118503	0.117836	0.116995	0.128095	0.116709	0.11663	0.116474	0.11619	0.11568	0.115069	0.116045	0.115632	0.114397	0.114296	0.114118	0.113777	0.113835	0.113917	0.113398	0.11334	0.113212	0.112934	0.112703	0.11284	0.112499	0.112423	0.0988456	0.0955509	0.0906724	0.0842934	0.0808438	0.0761684	0.0690804	0.0592331	0.0549829	0.0501201	0.0482209	0.0470917	0.0459678	0.0435447	0.0402219	0.03512	0.0356997	0.0378685	0.0292232	0.0288521	0.0280364	0.0267928	0.0244101	
79	0.015	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0.016	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0.015	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0.016	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0.015	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0.016	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

77	0	1	task-0:0.126	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.198188	0.194675	0.184257	0.167838	0.149798	0.120879	0.0857569	0.115065	0.0775967	0.0714705	0.0702747	0.0669366	0.0624568	0.0538573	

79	0.015	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

79	0.047	1	task-0:0.134	|	0.251485	0.24044	0.23918	0.237427	0.237171	0.236409	0.235611	0.234515	0.233513	0.235101	0.233184	0.233069	0.232907	0.232556	0.232017	0.235523	0.23376	0.231705	0.231656	0.197778	0.194254	0.183777	0.16727	0.149063	0.119994	0.0898547	0.111466	0.0807279	0.0746839	0.0635511	0.0859711	0.066331	0.0536643	0.0509391	0.0505413	0.0492428	0.0473738	0.045372	

