231	0.109	1	0	task-3:0.12	task-0:0.4	task-1:0.424	task-2:0.042	|	0.0567168	0.0555634	0.0541337	0.0540446	0.0538648	0.0535601	0.053238	0.0552511	0.0532151	0.0532092	0.053191	0.0531526	0.0530974	0.0530697	0.0530464	0.0530184	0.0529942	0.0529778	0.0529766	0.0529714	0.052964	0.052676	0.0522462	0.0510835	0.0488309	0.0457924	0.0441865	0.0430862	0.0417557	0.0411594	0.040136	0.0379677	0.0342642	0.0360072	0.0534816	0.0291697	0.0288987	0.0283734	0.0278109	0.0275647	0.0273992	0.0271785	0.0270437	0.0266968	0.0259679	0.0246701	0.0244396	0.0339562	0.0229717	0.0226838	0.0225224	0.0224527	0.0223619	0.022171	0.02182	0.0214239	0.0218422	0.021173	0.0210998	0.0209924	0.0208376	0.0207597	0.0205833	0.0202763	0.0203457	0.0200313	0.0199331	0.0198273	0.0196161	0.0192098	0.0188835	0.0213909	0.0185745	0.0184797	0.0184043	0.018311	0.0181849	0.0180944	0.0180471	0.0180196	0.0179679	0.0178822	0.017846	0.0177159	0.01765	0.0175764	0.0174369	0.0172435	0.0171006	0.0173118	0.0169702	0.0169467	0.016905	0.0168086	0.0167107	0.0165226	0.0162208	0.0168237	0.0165136	0.0159483	0.0158934	0.0157997	0.0156434	0.015509	0.0154917	0.0153903	0.015369	0.0153449	0.0152837	0.0152049	0.0151478	0.0150623	0.0149383	0.0147953	0.0149517	0.0146779	0.0146544	0.0146183	0.0145405	0.0144391	0.0143639	0.0142708	0.0142618	0.0142446	0.0142375	0.0141963	0.014138	0.0141021	0.0140505	0.0139445	0.0139253	0.013909	0.013859	0.0137559	0.0135594	0.0135773	0.0138398	0.0132775	0.0132546	0.0132065	0.0131002	0.0128887	0.0124876	0.0134753	0.0192289	0.011881	0.0118396	0.011799	0.0117772	0.0117349	0.0116562	0.0115164	0.0113122	0.0111793	0.0170131	0.0108653	0.0107025	0.010641	0.0105959	0.010553	0.0105071	0.0104489	0.0104784	0.0104929	0.0103963	0.0103869	0.010373	0.0103426	0.0102801	0.0101464	0.00988223	
130	0.078	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

130	0.062	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

130	0.079	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

130	0.062	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

121	0.047	1	0	task-3:0.456	task-0:0.2	task-1:0.168	task-2:0.474	|	0.0583302	0.057051	0.0552573	0.0550873	0.0548538	0.0545851	0.0543076	0.0538983	0.0544422	0.0546287	0.05353	0.053506	0.0534442	0.0533171	0.0531047	0.0529598	0.0563461	0.0529019	0.0528992	0.0528939	0.0528853	0.052874	0.0528662	0.052863	0.0528607	0.0528587	0.0528574	0.0528555	0.0528538	0.0528498	0.0519121	0.050564	0.046988	0.0408611	0.0343933	0.0300955	0.0284786	0.0267105	0.023222	0.0175108	0.0150215	0.0244806	0.0134765	0.0131256	0.0125934	0.0117142	0.0105701	0.00991679	

130	0.063	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

130	0.047	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

130	0.047	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

130	0.063	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

130	0.062	1	0	task-3:0.458	task-0:0.168	task-1:0.164	task-2:0.468	|	0.0591302	0.0569538	0.0546477	0.0545686	0.0544246	0.0542214	0.0540216	0.053771	0.0536484	0.0535602	0.0535108	0.0534197	0.0533239	0.0533442	0.0532679	0.0532453	0.0531995	0.053131	0.0530518	0.0532134	0.0530291	0.0530213	0.0530067	0.0520868	0.0507524	0.0471729	0.0409554	0.0357138	0.0343578	0.0339402	0.0299022	0.0290998	0.0278091	0.0258081	0.0224427	0.0181172	0.0165145	0.0251646	0.014431	0.0141527	0.0135694	0.0126116	0.0119954	0.0117706	0.0112502	0.011018	0.0108264	0.0104485	0.00981179	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.093	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.093	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

244	0.094	1	0	task-3:0.124	task-0:0.42	task-1:0.442	task-2:0.056	|	0.0695735	0.0635601	0.0543381	0.0541948	0.0540842	0.0539251	0.0537887	0.0535612	0.0533306	0.0536262	0.0532528	0.0532353	0.053205	0.053143	0.0530315	0.0528778	0.0540375	0.0537766	0.0528135	0.0528134	0.0528134	0.0528133	0.0528129	0.052813	0.0524367	0.0519665	0.0508561	0.0491486	0.0467822	0.0451213	0.0429371	0.038921	0.0342705	0.0768556	0.0332946	0.0331073	0.0326791	0.0324708	0.0321537	0.0315307	0.0303682	0.0297222	0.0309515	0.0286782	0.028425	0.0280994	0.0275269	0.0267195	0.025757	0.0296519	0.0252676	0.0251166	0.024887	0.0246227	0.0245924	0.0244453	0.0242701	0.0240885	0.0239898	0.0237516	0.0232639	0.0225803	0.0240954	0.0221559	0.0220557	0.0219144	0.0216225	0.0210629	0.0201152	0.0201346	0.046885	0.0182688	0.0181871	0.0181031	0.0179255	0.0175675	0.0169516	0.0177423	0.0191224	0.0161654	0.0161039	0.0160178	0.015956	0.0158909	0.0157535	0.0155006	0.0154389	0.0158016	0.0150956	0.0150559	0.0149788	0.0148327	0.0147873	0.0147049	0.0146445	0.0146004	0.0145612	0.014461	0.014395	0.0142545	0.0139731	0.0134444	0.017488	0.0134567	0.0131501	0.0131278	0.0130998	0.013064	0.0129936	0.0129402	0.0128506	0.0128612	0.0128962	0.0127201	0.0126864	0.012626	0.0125094	0.0123032	0.0123934	0.0122524	0.0120921	0.0120779	0.0120464	0.0119635	0.0119243	0.0118296	0.0117584	0.0116417	0.011616	0.0117528	0.0114903	0.0114625	0.011418	0.0113312	0.0111653	0.0108763	0.0109465	0.0156277	0.0105611	0.0104508	0.0104197	0.0103562	0.0102387	0.0100781	0.0104852	0.0102961	0.0100032	0.00999593	

