171	0.047	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.015	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.015	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

75	0.016	1	0	task-0:0.266	|	0.30174	0.225604	0.220819	0.216966	0.215147	0.213906	0.2131	0.212001	0.211472	0.210584	0.209236	0.206454	0.20196	0.252137	0.231072	0.200803	0.205271	0.198192	0.198087	0.197854	0.197564	0.197835	0.199294	0.197378	0.197233	0.197005	0.196861	0.196699	0.196663	0.19662	0.173773	0.168109	0.15704	0.138542	0.113152	0.0803745	0.079716	0.0608238	0.0489603	0.0455199	0.04056	0.0322565	0.0247265	0.0212102	0.018567	0.0172496	0.0148009	0.0109325	0.00667234	

171	0	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

107	0	1	0	task-0:0.26	|	0.318942	0.238155	0.235748	0.231365	0.227348	0.225443	0.223018	0.222037	0.219411	0.216135	0.223024	0.214729	0.21366	0.213307	0.212564	0.212544	0.211798	0.211372	0.210826	0.210577	0.209741	0.208755	0.206782	0.20584	0.217715	0.203768	0.203319	0.203165	0.203022	0.202644	0.202522	0.202307	0.202126	0.201725	0.201493	0.201072	0.20075	0.200646	0.172881	0.161148	0.143202	0.129322	0.125487	0.112231	0.0908943	0.0601655	0.036053	0.0307877	0.0266607	0.021306	0.017161	0.0133709	0.00941316	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.015	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

171	0.016	1	0	task-0:0.134	|	0.240045	0.230854	0.229101	0.226165	0.223172	0.220042	0.219582	0.227127	0.215495	0.214855	0.212811	0.208779	0.20736	0.252786	0.203888	0.203602	0.202875	0.201489	0.199055	0.211902	0.232633	0.198027	0.2006	0.19646	0.196399	0.19624	0.196054	0.196076	0.19595	0.195905	0.195847	0.195741	0.195547	0.195608	0.168959	0.169204	0.153211	0.149458	0.139825	0.126871	0.125883	0.113148	0.107618	0.100557	0.0906788	0.073904	0.0542175	0.219934	0.0531928	0.0603672	0.0494378	0.0489052	0.0476929	0.0468237	0.0455064	0.0470495	0.0439492	0.0433956	0.0419146	0.0389511	0.041071	0.0439826	0.0345464	0.0341434	0.0336419	0.0330826	0.0322388	0.0320247	0.0316392	0.0311875	0.0309767	0.0304233	0.0303248	0.0298722	0.0297906	0.0293819	0.0292053	0.0287304	0.0283396	0.0276357	0.0269994	0.0265122	0.0260846	0.0259835	0.0256978	0.0253434	0.0245109	0.0232973	0.0227598	0.0276801	0.0215662	0.0213093	0.021028	0.020388	0.0191259	0.0180711	0.0301348	0.0169437	0.016738	0.016579	0.0162362	0.0156152	0.0157825	0.0168337	0.0144873	0.0143284	0.0141366	0.013734	0.0129913	0.0127274	0.0174225	0.011874	0.0117409	0.0115903	0.0113449	0.0109282	0.0101293	0.00887562	

