83	0.047	1	0	task-3:0.456	task-0:0.174	task-1:0.212	task-2:0.474	|	0.0548503	0.0543178	0.0537318	0.0536472	0.0534935	0.0533447	0.0532661	0.0532492	0.0532132	0.0531436	0.0530354	0.053104	0.0531087	0.0529529	0.0529485	0.0522689	0.051268	0.0485655	0.0437506	0.0390715	0.0357813	0.0490177	0.0337798	0.0332052	0.0318996	0.0292663	0.0254914	0.0212833	0.0221974	0.0221149	0.0176463	0.0172112	0.0163155	0.0148784	0.0148534	0.0140261	0.0131973	0.0129263	0.0126615	0.0121966	0.0115531	0.010546	0.00877106	
108	0.047	1	0	task-3:0.456	task-0:0.148	task-1:0.118	task-2:0.468	|	0.0622306	0.060275	0.0569909	0.0560695	0.0552303	0.0539431	0.0530265	0.0593489	0.0529672	0.0529606	0.0529557	0.052947	0.0529298	0.0528992	0.052876	0.0530423	0.0528558	0.0528539	0.0528501	0.052845	0.0528417	0.0519405	0.0506454	0.0472371	0.0416046	0.0375476	0.0348901	0.0337177	0.0310084	0.030385	0.0289302	0.0258898	0.0203127	0.0129216	0.0515321	0.0135745	0.022144	0.0115067	0.0113009	0.0109821	0.0107864	0.0103555	0.00949605	

108	0.047	1	0	task-3:0.456	task-0:0.148	task-1:0.118	task-2:0.468	|	0.0622306	0.060275	0.0569909	0.0560695	0.0552303	0.0539431	0.0530265	0.0593489	0.0529672	0.0529606	0.0529557	0.052947	0.0529298	0.0528992	0.052876	0.0530423	0.0528558	0.0528539	0.0528501	0.052845	0.0528417	0.0519405	0.0506454	0.0472371	0.0416046	0.0375476	0.0348901	0.0337177	0.0310084	0.030385	0.0289302	0.0258898	0.0203127	0.0129216	0.0515321	0.0135745	0.022144	0.0115067	0.0113009	0.0109821	0.0107864	0.0103555	0.00949605	

115	0.047	1	0	task-3:0.46	task-0:0.148	task-1:0.16	task-2:0.472	|	0.0665455	0.06169	0.0552291	0.0550983	0.0549032	0.0545181	0.053891	0.054328	0.0563951	0.0532741	0.0532588	0.0532268	0.0531649	0.0530838	0.0529677	0.0535699	0.0529815	0.0529291	0.0529255	0.0529176	0.052903	0.0528849	0.0520572	0.0507817	0.0472627	0.0405223	0.0323289	0.0409952	0.0306121	0.0272709	0.026302	0.0253913	0.0241925	0.0227031	0.0200299	0.0176642	0.0257451	0.0162675	0.0157367	0.0152332	0.0143433	0.0132018	0.0132263	0.012346	0.012138	0.0118262	0.0113229	0.0110062	0.010662	0.010184	0.00975647	

115	0.063	1	0	task-3:0.46	task-0:0.148	task-1:0.16	task-2:0.472	|	0.0665455	0.06169	0.0552291	0.0550983	0.0549032	0.0545181	0.053891	0.054328	0.0563951	0.0532741	0.0532588	0.0532268	0.0531649	0.0530838	0.0529677	0.0535699	0.0529815	0.0529291	0.0529255	0.0529176	0.052903	0.0528849	0.0520572	0.0507817	0.0472627	0.0405223	0.0323289	0.0409952	0.0306121	0.0272709	0.026302	0.0253913	0.0241925	0.0227031	0.0200299	0.0176642	0.0257451	0.0162675	0.0157367	0.0152332	0.0143433	0.0132018	0.0132263	0.012346	0.012138	0.0118262	0.0113229	0.0110062	0.010662	0.010184	0.00975647	

115	0.062	1	0	task-3:0.46	task-0:0.148	task-1:0.16	task-2:0.472	|	0.0665455	0.06169	0.0552291	0.0550983	0.0549032	0.0545181	0.053891	0.054328	0.0563951	0.0532741	0.0532588	0.0532268	0.0531649	0.0530838	0.0529677	0.0535699	0.0529815	0.0529291	0.0529255	0.0529176	0.052903	0.0528849	0.0520572	0.0507817	0.0472627	0.0405223	0.0323289	0.0409952	0.0306121	0.0272709	0.026302	0.0253913	0.0241925	0.0227031	0.0200299	0.0176642	0.0257451	0.0162675	0.0157367	0.0152332	0.0143433	0.0132018	0.0132263	0.012346	0.012138	0.0118262	0.0113229	0.0110062	0.010662	0.010184	0.00975647	

78	0.032	1	0	task-3:0.46	task-0:0.188	task-1:0.14	task-2:0.482	|	0.0740984	0.067416	0.0552526	0.0547673	0.0546246	0.0544494	0.0541609	0.0538582	0.0534477	0.0532024	0.0554233	0.0531307	0.0530782	0.0530735	0.0530592	0.0530273	0.0529681	0.0528993	0.0535893	0.0528812	0.0528785	0.052873	0.0528664	0.0528609	0.0521349	0.0510722	0.0482858	0.0435967	0.0388059	0.0347558	0.0331004	0.0303924	0.0278478	0.0234621	0.0195707	0.0217738	0.0174161	0.0164353	0.0153958	0.0140869	0.0121419	0.00909872	

