100	0.046	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.046	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

100	0.047	1	0	task-3:0.458	task-0:0.132	task-1:0.11	task-2:0.476	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0520033	0.0506876	0.0472727	0.0415955	0.0360513	0.0316806	0.0297383	0.02595	0.0200334	0.0171493	0.0152435	0.014294	0.0135377	0.0121706	0.00977203	0.00644948	0.00723607	0.0050225	0.00404353	0.00391067	0.00364468	0.00317073	0.00251224	0.00259634	0.0064952	0.00180076	

103	0.062	1	0	task-3:0.456	task-0:0.154	task-1:0.084	task-2:0.446	|	0.0586848	0.0584717	0.0578783	0.056683	0.0548417	0.0547565	0.05386	0.053723	0.053575	0.0533641	0.0533587	0.0544666	0.0531449	0.0531329	0.0531083	0.0530617	0.0529904	0.05296	0.0532351	0.0529157	0.0519854	0.050641	0.0471558	0.0413738	0.0357405	0.0313038	0.0292375	0.0254633	0.0194583	0.016425	0.0145512	0.0135951	0.0132645	0.0126995	0.0116414	0.0104184	0.00868969	0.00726183	0.00628143	0.00557192	0.00541084	0.00514759	0.00479879	0.00437381	0.00409443	0.00370115	0.00370527	0.00317297	0.00302087	0.00293317	0.00276179	0.00242664	

